name,GMT_Formula,country,lat,long,timezone
Castries,GMT-04:00,Saint Lucia,14,-60.98333359,SA Western Standard Time
Charlotte Amalie,GMT-04:00,"Virgin Islands U.S.",18.35000038,-64.93333435,SA Western Standard Time
Fort-de-France,GMT-04:00,Martinique,14.60000038,-61.06666565,SA Western Standard Time
Georgetown,GMT-04:00,Guyana,6.783333302,-58.15000153,SA Western Standard Time
Kingstown,GMT-04:00,Saint Vincent and the Grenadines,13.19999981,-61.26666641,SA Western Standard Time
La Paz,GMT-04:00,Bolivia,-16.04999924,-68.01499939,SA Western Standard Time
Manaus,GMT-04:00,Brazil,-3.116666555,-60.01666641,SA Western Standard Time
Oranjestad,GMT-04:00,Aruba,12.52444458,-70.02639008,SA Western Standard Time
Philipsburg,GMT-04:00,Sint Maarten,18.02916718,-63.04750061,SA Western Standard Time
Port of Spain,GMT-04:00,Trinidad and Tobago,10.66666698,-61.5,SA Western Standard Time
Puerto Plata,GMT-04:00,Dominican Republic,19.7966671,-70.69249725,SA Western Standard Time
Road Town,GMT-04:00,"Virgin Islands British",18.43333244,-64.6166687,SA Western Standard Time
Roseau,GMT-04:00,Dominica,15.30000019,-61.38333511,SA Western Standard Time
Saint George's,GMT-04:00,Grenada,12.05000019,-61.75,SA Western Standard Time
San Juan,GMT-04:00,Puerto Rico,18.43333244,-66.1333313,SA Western Standard Time
Santiago de los Caballeros,GMT-04:00,Dominican Republic,19.45000076,-70.69999695,SA Western Standard Time
Santo Domingo,GMT-04:00,Dominican Republic,18.48333359,-69.91666412,SA Western Standard Time
St. John's,GMT-04:00,Antigua and Barbuda,17.11666679,-61.83333206,SA Western Standard Time
Willemstad,GMT-04:00,Curacao,12.10000038,-68.93333435,SA Western Standard Time
Asuncion,GMT-04:00,Paraguay,-25.29999924,-57.63333511,Paraguay Standard Time
Pedro Juan Caballero,GMT-04:00,Paraguay,-22.53333282,-55.75,Paraguay Standard Time
Barcelona,GMT-04:30,Venezuela,10.13305569,-64.71666718,Venezuela Standard Time
Caracas,GMT-04:30,Venezuela,10.5,-66.91666412,Venezuela Standard Time
Ambato,GMT-05:00,Ecuador,-1.240277767,-78.62000275,SA Pacific Standard Time
Arequipa,GMT-05:00,Peru,-16.38333321,-71.51667023,SA Pacific Standard Time
Bogota,GMT-05:00,Colombia,4.599999905,-74.08333588,SA Pacific Standard Time
Cuenca,GMT-05:00,Ecuador,-2.896111012,-79.00527954,SA Pacific Standard Time
George Town,GMT-05:00,Cayman Islands,19.29583359,-81.3758316,SA Pacific Standard Time
Guayaquil,GMT-05:00,Ecuador,-2.200000048,-79.90000153,SA Pacific Standard Time
Kingston,GMT-05:00,Jamaica,17.96666718,-75.19999695,SA Pacific Standard Time
Lima,GMT-05:00,Peru,-12.05000019,-77.05000305,SA Pacific Standard Time
Medellin,GMT-05:00,Colombia,6.235833168,-75.57527924,SA Pacific Standard Time
Panama City,GMT-05:00,Panama,8.94972229,-78.5,SA Pacific Standard Time
Piura,GMT-05:00,Peru,-5.193611145,-80.62472534,SA Pacific Standard Time
Quito,GMT-05:00,Ecuador,-0.216705322,-78.5,SA Pacific Standard Time
Sullana,GMT-05:00,Peru,-4.891944408,-80.68416595,SA Pacific Standard Time
Trujillo,GMT-05:00,Peru,-8.112500191,-79.02999878,SA Pacific Standard Time
Cienfuegos,GMT-05:00,Cuba,22.16638947,-80.44972229,Cuba Standard Time
Havana,GMT-05:00,Cuba,23.13305473,-81.6166687,Cuba Standard Time
Manzanillo,GMT-05:00,Cuba,20.35000038,-77.1166687,Cuba Standard Time
Santa Clara,GMT-05:00,Cuba,22.41638947,-79.96666718,Cuba Standard Time
Santiago de Cuba,GMT-05:00,Cuba,20.01638794,-75.81639099,Cuba Standard Time
"Akron OH",GMT-05:00,United States,41.08333206,-81.51667023,Eastern Standard Time
"Albany NY",GMT-05:00,United States,42.65000153,-73.75,Eastern Standard Time
"Alert NU",GMT-05:00,Canada,82.46666718,-62.5,Eastern Standard Time
"Annapolis MD",GMT-05:00,United States,38.97833252,-76.49250031,Eastern Standard Time
"Atlanta GA",GMT-05:00,United States,33.75,-84.38305664,Eastern Standard Time
"Augusta ME",GMT-05:00,United States,44.31638718,-69.78305817,Eastern Standard Time
"Baltimore MD",GMT-05:00,United States,39.28305435,-76.6166687,Eastern Standard Time
"Barrie ON",GMT-05:00,Canada,44.37805557,-79.70166779,Eastern Standard Time
"Boston MA",GMT-05:00,United States,42.36639023,-71.06639099,Eastern Standard Time
"Buffalo NY",GMT-05:00,United States,42.88333511,-78.8833313,Eastern Standard Time
"Chantilly VA",GMT-05:00,United States,38.87722397,-77.40888977,Eastern Standard Time
"Charleston WV",GMT-05:00,United States,38.35333252,-81.63527679,Eastern Standard Time
"Charlotte NC",GMT-05:00,United States,35.23333359,-80.84972382,Eastern Standard Time
"Chattanooga TN",GMT-05:00,United States,35.04999924,-85.31666565,Eastern Standard Time
"Cincinnati OH",GMT-05:00,United States,39.16666794,-84.44972229,Eastern Standard Time
"Cleveland OH",GMT-05:00,United States,41.5,-81.69999695,Eastern Standard Time
Cockburn Town,GMT-05:00,Turks and Caicos Islands,21.46666718,-71.1333313,Eastern Standard Time
"Columbia SC",GMT-05:00,United States,34.01638794,-81,Eastern Standard Time
"Columbus GA",GMT-05:00,United States,32.46666718,-84.98332977,Eastern Standard Time
"Columbus OH",GMT-05:00,United States,39.96666718,-83,Eastern Standard Time
"Dayton OH",GMT-05:00,United States,39.76666641,-84.19999695,Eastern Standard Time
"Detroit MI",GMT-05:00,United States,42.33139038,-83.04582977,Eastern Standard Time
"Dublin OH",GMT-05:00,United States,40.09916687,-83.11416626,Eastern Standard Time
"Folcroft PA",GMT-05:00,United States,39.89083481,-75.28388977,Eastern Standard Time
"Ft. Lauderdale FL",GMT-05:00,United States,26.1222229,-80.14333344,Eastern Standard Time
"Grand Rapids MI",GMT-05:00,United States,42.96666718,-85.66666412,Eastern Standard Time
"Guelph ON",GMT-05:00,Canada,43.54999924,-80.25,Eastern Standard Time
"Hamilton ON",GMT-05:00,Canada,43.25,-79.84999847,Eastern Standard Time
"Hudson MA",GMT-05:00,United States,42.39166641,-71.56666565,Eastern Standard Time
"Huntingdon QC",GMT-05:00,Canada,45.09194565,-74.17666626,Eastern Standard Time
"Huntington WV",GMT-05:00,United States,38.41055679,-82.42861176,Eastern Standard Time
"Indianapolis IN",GMT-05:00,United States,39.76638794,-86.15000153,Eastern Standard Time
"Iqaluit NU",GMT-05:00,Canada,63.74139023,-68.50971985,Eastern Standard Time
"Jacksonville FL",GMT-05:00,United States,30.33333397,-81.65000153,Eastern Standard Time
"Jersey City NJ",GMT-05:00,United States,40.72805405,-74.07777405,Eastern Standard Time
"Kingston ON",GMT-05:00,Canada,44.23333359,-76.5,Eastern Standard Time
"Kitchener ON",GMT-05:00,Canada,43.45000076,-80.5,Eastern Standard Time
"Lakeland FL",GMT-05:00,United States,28.03944397,-81.94972229,Eastern Standard Time
"Lansing MI",GMT-05:00,United States,42.73361206,-84.54666901,Eastern Standard Time
"Lexington KY",GMT-05:00,United States,38.0316658,-84.4952774,Eastern Standard Time
"London ON",GMT-05:00,Canada,42.98249817,-81.25389099,Eastern Standard Time
"Long Branch NJ",GMT-05:00,United States,40.29583359,-73.99055481,Eastern Standard Time
"Louisville KY",GMT-05:00,United States,38.25,-85.76667023,Eastern Standard Time
"Melbourne FL",GMT-05:00,United States,28.08333397,-80.59999847,Eastern Standard Time
"Miami FL",GMT-05:00,United States,25.77416611,-80.1902771,Eastern Standard Time
"Miramar FL",GMT-05:00,United States,25.97861099,-80.33361053,Eastern Standard Time
"Mississauga ON",GMT-05:00,Canada,43.54861069,-79.62638855,Eastern Standard Time
"Montpelier VT",GMT-05:00,United States,44.26277924,-72.5716629,Eastern Standard Time
"Montreal QC",GMT-05:00,Canada,45.54555511,-73.63916779,Eastern Standard Time
"Myrtle Beach SC",GMT-05:00,United States,33.69666672,-78.89416504,Eastern Standard Time
Nassau,GMT-05:00,Bahamas,25.06666756,-77.33333588,Eastern Standard Time
"New York NY",GMT-05:00,United States,40.73333359,-73.91638947,Eastern Standard Time
"Newark NJ",GMT-05:00,United States,40.73555374,-74.17250061,Eastern Standard Time
"Niagara Falls NY",GMT-05:00,United States,43.09999847,-79.05000305,Eastern Standard Time
"Niagara Falls ON",GMT-05:00,Canada,43.09999847,-79.09999847,Eastern Standard Time
"Norfolk VA",GMT-05:00,United States,36.84999847,-76.28333282,Eastern Standard Time
"North Bay ON",GMT-05:00,Canada,46.31916809,-79.43416595,Eastern Standard Time
"Ocala FL",GMT-05:00,United States,29.18777847,-82.1305542,Eastern Standard Time
"Orlando FL",GMT-05:00,United States,28.53305626,-81.38305664,Eastern Standard Time
"Oshawa ON",GMT-05:00,Canada,43.88999939,-78.86000061,Eastern Standard Time
"Ottawa ON",GMT-05:00,Canada,45.42361069,-75.69805908,Eastern Standard Time
"Parsippany NJ",GMT-05:00,United States,40.85777664,-74.42694092,Eastern Standard Time
"Philadelphia PA",GMT-05:00,United States,39.95166779,-75.16388702,Eastern Standard Time
"Pickering ON",GMT-05:00,Canada,43.83805466,-79.08361053,Eastern Standard Time
"Pittsburgh PA",GMT-05:00,United States,40.4383316,-80.0019455,Eastern Standard Time
"Point Pleasant Beach NJ",GMT-05:00,United States,40.09166718,-74.04972076,Eastern Standard Time
"Port Orange FL",GMT-05:00,United States,29.13333321,-81,Eastern Standard Time
Port-au-Prince,GMT-05:00,Haiti,18.53305626,-72.33333588,Eastern Standard Time
"Princeton NJ",GMT-05:00,United States,40.34972382,-74.65972137,Eastern Standard Time
"Quebec City QC",GMT-05:00,Canada,46.8125,-71.21472168,Eastern Standard Time
"Raleigh NC",GMT-05:00,United States,35.77972412,-78.64333344,Eastern Standard Time
"Richmond IN",GMT-05:00,United States,39.82888794,-84.89027405,Eastern Standard Time
"Richmond VA",GMT-05:00,United States,37.55361176,-77.46055603,Eastern Standard Time
"Saxonburg PA",GMT-05:00,United States,40.75,-79.81666565,Eastern Standard Time
"St. Catharines ON",GMT-05:00,Canada,43.16666794,-79.25,Eastern Standard Time
"Stamford CT",GMT-05:00,United States,41.05527878,-73.53111267,Eastern Standard Time
"Syracuse NY",GMT-05:00,United States,43.04805374,-76.14778137,Eastern Standard Time
"Tampa FL",GMT-05:00,United States,27.95000076,-82.46666718,Eastern Standard Time
"Toledo OH",GMT-05:00,United States,41.66666794,-83.55000305,Eastern Standard Time
"Toronto ON",GMT-05:00,Canada,43.67027664,-79.38666534,Eastern Standard Time
"Vienna VA",GMT-05:00,United States,38.9011116,-77.26527405,Eastern Standard Time
"Washington DC",GMT-05:00,United States,38.88333511,-77.03333282,Eastern Standard Time
"Waterloo ON",GMT-05:00,Canada,43.53333282,-80.53333282,Eastern Standard Time
"Westford MA",GMT-05:00,United States,42.57916641,-71.4383316,Eastern Standard Time
"Windsor ON",GMT-05:00,Canada,42.29277802,-82.9936142,Eastern Standard Time
"Winston-Salem NC",GMT-05:00,United States,36.09472275,-80.24333191,Eastern Standard Time
Eirunepe,GMT-05:00,Brazil,-6.660277843,-69.87444305,"Rio Branco Brazil"
Rio Branco,GMT-05:00,Brazil,-9.973889351,-67.80750275,"Rio Branco Brazil"
Alajuela,GMT-06:00,Costa Rica,10.01666641,-84.21666718,Central America Standard Time
Belize City,GMT-06:00,Belize,17.49777794,-88.1866684,Central America Standard Time
Belmopan,GMT-06:00,Belize,17.26666641,-88.78333282,Central America Standard Time
Chinandega,GMT-06:00,Nicaragua,12.63333321,-87.1333313,Central America Standard Time
Granada,GMT-06:00,Nicaragua,11.92805576,-85.95999908,Central America Standard Time
Heredia,GMT-06:00,Costa Rica,9.991944313,-84.12000275,Central America Standard Time
La Libertad,GMT-06:00,El Salvador,13.5666666,-89.28333282,Central America Standard Time
La Union,GMT-06:00,El Salvador,13.33333302,-87.84999847,Central America Standard Time
Managua,GMT-06:00,Nicaragua,12.10000038,-85.69999695,Central America Standard Time
Olanchito,GMT-06:00,Honduras,15.48333359,-86.56639099,Central America Standard Time
Puerto Ayora,GMT-06:00,Ecuador,-0.745277762,-90.31361389,Central America Standard Time
Puerto Baquerizo Moreno,GMT-06:00,Ecuador,-0.901388884,-89.61055756,Central America Standard Time
San Isidro,GMT-06:00,Costa Rica,9.368888855,-83.70694733,Central America Standard Time
San Jose,GMT-06:00,Costa Rica,9.933333397,-84.08333588,Central America Standard Time
San Pedro Sula,GMT-06:00,Honduras,15.5,-88.03305817,Central America Standard Time
San Salvador,GMT-06:00,El Salvador,13.69999981,-89.19999695,Central America Standard Time
Santa Ana,GMT-06:00,El Salvador,13.99611092,-89.55249786,Central America Standard Time
Santa Rosa,GMT-06:00,Honduras,14.76638889,-88.78305817,Central America Standard Time
Tegucigalpa,GMT-06:00,Honduras,14.10000038,-87.21666718,Central America Standard Time
"Austin TX",GMT-06:00,United States,30.26638794,-97.75,Central Standard Time
"Baton Rouge LA",GMT-06:00,United States,30.45000076,-91.15000153,Central Standard Time
"Birmingham AL",GMT-06:00,United States,33.51666641,-86.80000305,Central Standard Time
"Bismarck ND",GMT-06:00,United States,46.81638718,-100.7830582,Central Standard Time
"Champaign IL",GMT-06:00,United States,40.11639023,-88.24333191,Central Standard Time
"Chicago IL",GMT-06:00,United States,41.84972382,-87.65000153,Central Standard Time
Ciudad Acuna,GMT-06:00,Mexico,29.31833267,-100.9325027,Central Standard Time
"Dallas TX",GMT-06:00,United States,32.76666641,-96.80000305,Central Standard Time
"Del Rio TX",GMT-06:00,United States,29.36277771,-100.8969421,Central Standard Time
"Des Moines IA",GMT-06:00,United States,41.59972382,-93.63305664,Central Standard Time
"Fort Worth TX",GMT-06:00,United States,32.73333359,-97.31666565,Central Standard Time
"Galesburg IL",GMT-06:00,United States,40.94777679,-90.37110901,Central Standard Time
"Gary IN",GMT-06:00,United States,41.59555435,-87.34527588,Central Standard Time
"Houston TX",GMT-06:00,United States,29.75,-95.38305664,Central Standard Time
"Jackson MS",GMT-06:00,United States,32.29999924,-90.18333435,Central Standard Time
"Jefferson City MO",GMT-06:00,United States,38.57666779,-92.1736145,Central Standard Time
"Kansas City MO",GMT-06:00,United States,39.09972382,-94.58333588,Central Standard Time
"Kosciusko MS",GMT-06:00,United States,33.04999924,-89.58333588,Central Standard Time
"Lafayette LA",GMT-06:00,United States,30.22416687,-92.01972198,Central Standard Time
"Lincoln NE",GMT-06:00,United States,40.81361008,-96.70249939,Central Standard Time
"Little Rock AR",GMT-06:00,United States,34.72444534,-92.27889252,Central Standard Time
"Lubbock TX",GMT-06:00,United States,33.57777786,-101.855278,Central Standard Time
"Madison WI",GMT-06:00,United States,43.06305695,-89.40083313,Central Standard Time
"Magnolia TX",GMT-06:00,United States,30.20916748,-95.75055695,Central Standard Time
Matamoros,GMT-06:00,Mexico,25.86111069,-97.50222015,Central Standard Time
"Memphis TN",GMT-06:00,United States,35.15000153,-90.05000305,Central Standard Time
"Milwaukee WI",GMT-06:00,United States,43.03333282,-87.90000153,Central Standard Time
"Minneapolis MN",GMT-06:00,United States,44.97750092,-93.26444244,Central Standard Time
"Mobile AL",GMT-06:00,United States,30.69444466,-88.04305267,Central Standard Time
"Montgomery AL",GMT-06:00,United States,32.37555695,-86.29972076,Central Standard Time
"Montgomery TX",GMT-06:00,United States,30.3880558,-95.69611359,Central Standard Time
"Nashville TN",GMT-06:00,United States,36.16666794,-86.78333282,Central Standard Time
"Navasota TX",GMT-06:00,United States,30.38333321,-96.08333588,Central Standard Time
"New Orleans LA",GMT-06:00,United States,29.9533329,-90.0688858,Central Standard Time
Nuevo Laredo,GMT-06:00,Mexico,27.48111153,-99.5605545,Central Standard Time
Ojinaga,GMT-06:00,Mexico,29.55583382,-104.417778,Central Standard Time
"Oklahoma City OK",GMT-06:00,United States,35.46666718,-97.51667023,Central Standard Time
"Omaha NE",GMT-06:00,United States,41.25972366,-95.9422226,Central Standard Time
"Pearl MS",GMT-06:00,United States,32.27444458,-90.13194275,Central Standard Time
"Pensacola FL",GMT-06:00,United States,30.4738884,-87.21221924,Central Standard Time
Piedras Negras,GMT-06:00,Mexico,28.6977787,-100.5247192,Central Standard Time
"Pierre SD",GMT-06:00,United States,44.37749863,-100.3177795,Central Standard Time
Reynosa,GMT-06:00,Mexico,26.06666756,-98.28305817,Central Standard Time
"Russell Springs KY",GMT-06:00,United States,37.05611038,-85.07194519,Central Standard Time
"San Antonio TX",GMT-06:00,United States,29.42499924,-98.4936142,Central Standard Time
"St. Louis MO",GMT-06:00,United States,38.63333511,-90.19999695,Central Standard Time
"St. Paul MN",GMT-06:00,United States,44.94472122,-93.10277557,Central Standard Time
"Tulsa OK",GMT-06:00,United States,36.09999847,-95.91666412,Central Standard Time
"Wichita KS",GMT-06:00,United States,37.70000076,-97.33333588,Central Standard Time
"Winnipeg MB",GMT-06:00,Canada,49.8955574,-97.13833618,Central Standard Time
Acapulco,GMT-06:00,Mexico,16.83888817,-99.90972137,Mexico Standard Time
Akumal,GMT-06:00,Mexico,20.39666748,-87.31361389,Mexico Standard Time
Cancun,GMT-06:00,Mexico,21.14777756,-86.83499908,Mexico Standard Time
Chichen Itza,GMT-06:00,Mexico,20.67833328,-88.5716629,Mexico Standard Time
Guadalajara,GMT-06:00,Mexico,20.66670227,-103.3332977,Mexico Standard Time
Ixtapa,GMT-06:00,Mexico,17.65333366,-101.5972214,Mexico Standard Time
Leon,GMT-06:00,Mexico,21.12361145,-101.6805573,Mexico Standard Time
Manzanillo,GMT-06:00,Mexico,19.05055618,-104.3172226,Mexico Standard Time
Melaque,GMT-06:00,Mexico,19.22527695,-104.7038879,Mexico Standard Time
Merida,GMT-06:00,Mexico,20.97972298,-89.6158371,Mexico Standard Time
Mexico City,GMT-06:00,Mexico,19.43305588,-99.13305664,Mexico Standard Time
Monterrey,GMT-06:00,Mexico,25.66670227,-100.3167038,Mexico Standard Time
Motul,GMT-06:00,Mexico,21.09444427,-89.28360748,Mexico Standard Time
Playa del Carmen,GMT-06:00,Mexico,20.62861061,-87.07971954,Mexico Standard Time
Progreso,GMT-06:00,Mexico,21.28000069,-89.66999817,Mexico Standard Time
Puebla,GMT-06:00,Mexico,19.04999924,-98.16666412,Mexico Standard Time
Puerto Vallarta,GMT-06:00,Mexico,20.65083313,-105.2152786,Mexico Standard Time
San Sebastian del Oeste,GMT-06:00,Mexico,20.76111031,-104.8527756,Mexico Standard Time
Santiago,GMT-06:00,Mexico,25.42777824,-100.1508331,Mexico Standard Time
Tizimin,GMT-06:00,Mexico,21.14583397,-88.15000153,Mexico Standard Time
Toluca de Lerdo,GMT-06:00,Mexico,19.29249954,-99.65694427,Mexico Standard Time
Veracruz,GMT-06:00,Mexico,19.17277718,-96.1333313,Mexico Standard Time
Zihuatanejo,GMT-06:00,Mexico,17.64444351,-101.5511093,Mexico Standard Time
Antigua,GMT-06:00,Guatemala,14.55000019,-90.73332977,Guatemala Standard Time
Guatemala City,GMT-06:00,Guatemala,14.625,-90.53277588,Guatemala Standard Time
Quezaltenango,GMT-06:00,Guatemala,14.83333302,-91.51667023,Guatemala Standard Time
"Regina SK",GMT-06:00,Canada,50.44722366,-104.6180573,Canada Central Standard Time
"Saskatoon SK",GMT-06:00,Canada,52.12916565,-106.6702805,Canada Central Standard Time
Bahia Kino,GMT-07:00,Mexico,28.8227787,-111.9363861,US Mountain Standard Time
"Chandler AZ",GMT-07:00,United States,33.30611038,-111.8405533,US Mountain Standard Time
Guaymas,GMT-07:00,Mexico,27.91388893,-110.9022217,US Mountain Standard Time
Hermosillo,GMT-07:00,Mexico,29.09166718,-110.9458313,US Mountain Standard Time
Nogales,GMT-07:00,Mexico,31.33083344,-110.944725,US Mountain Standard Time
"Phoenix AZ",GMT-07:00,United States,33.45000076,-112.066391,US Mountain Standard Time
Puerto Penasco,GMT-07:00,Mexico,31.31805611,-113.5366669,US Mountain Standard Time
"Quartzsite AZ",GMT-07:00,United States,33.66388702,-114.2300034,US Mountain Standard Time
San Carlos,GMT-07:00,Mexico,27.96388817,-111.0436096,US Mountain Standard Time
"Surprise AZ",GMT-07:00,United States,33.63833237,-112.4550018,US Mountain Standard Time
"Tucson AZ",GMT-07:00,United States,32.21666718,-110.9333344,US Mountain Standard Time
Cabo San Lucas,GMT-07:00,Mexico,22.89055634,-109.9166641,Mexico Standard Time 2
Chihuahua,GMT-07:00,Mexico,28.63330078,-106.0832977,Mexico Standard Time 2
Culiacan,GMT-07:00,Mexico,24.80416679,-107.3877792,Mexico Standard Time 2
La Paz,GMT-07:00,Mexico,24.13861084,-110.3174973,Mexico Standard Time 2
Las Varas,GMT-07:00,Mexico,21.17861176,-105.1355591,Mexico Standard Time 2
Los Mochis,GMT-07:00,Mexico,25.79166603,-108.9872208,Mexico Standard Time 2
Mazatlan,GMT-07:00,Mexico,23.21666718,-106.4166641,Mexico Standard Time 2
Tepic,GMT-07:00,Mexico,21.50388908,-104.8944473,Mexico Standard Time 2
"Aklavik NT",GMT-07:00,Canada,68.21666718,-135,Mountain Standard Time
"Albuquerque NM",GMT-07:00,United States,35.0830574,-106.6500015,Mountain Standard Time
"Banff AB",GMT-07:00,Canada,51.18083191,-115.5688858,Mountain Standard Time
"Billings MT",GMT-07:00,United States,45.78277588,-108.5044479,Mountain Standard Time
"Boise ID",GMT-07:00,United States,43.61639023,-116.1997223,Mountain Standard Time
"Calgary AB",GMT-07:00,Canada,51.05361176,-114.0625,Mountain Standard Time
